282,"JAZ MIRABEL CLUB SHARM",5,6,1,4.56,0,1,1,1,0,0,0
283,"SHIN SHIVA AYURVEDA ASHRAM",3,194,3,0,0,1,0,1,0,1,0
284,"KAHRAMANA BEACH RESORT MARSA ALAM",5,11,1,4.25,0,1,1,0,0,1,0
285,"SENTIDO KAHRAMANA PARK (EX. THE MARSA ALAM PARK RESORT)",4,11,1,4.39,1,1,0,0,0,0,0
286,KAHRAMANA,4,6,1,3.63,1,0,0,0,1,0,0
287,"KEMPINSKI HOTEL SOMA BAY",5,5,1,4.83,0,1,1,1,0,1,0
288,"KING TUT AQUA PARK BEACH RESORT",4,5,1,4.13,1,0,1,0,1,1,0
289,"VILLA AGUSTA (EX. VILLA VICENTE)",2,18,3,3.92,0,0,0,0,1,1,0
290,"JEWELS LA PERLA (EX. LA PERLA)",3,5,1,4.7,0,1,0,0,1,0,0
291,"NEW LA PERLA SHARM (EX. LA PERLA)",3,6,1,3.45,0,1,0,0,0,0,0
292,"WESTIN SOMA BAY GOLF RESORT (EX. LA RESIDENCE DES CASCADES)",5,5,1,4.81,0,1,0,1,0,1,1
293,"LAGUNA VISTA BEACH",5,6,1,4.3,1,1,1,1,0,1,0
294,"LAGUNA VISTA GARDEN RESORT",4,6,1,4.37,0,1,1,0,0,0,0
295,"LE MERIDIEN DAHAB RESORT",5,10,1,4.26,0,1,1,0,0,1,0
296,"SEA BREEZE BEACH",3,18,3,4.04,0,1,0,0,1,0,0
297,"LE PACHA RESORT",4,5,1,4.14,1,0,0,0,1,1,0
299,"LILLYLAND AQUA PARK (EX. LILLY LAND BEACH CLUB)",4,5,1,3.96,1,1,1,1,0,1,0
300,"OCEAN LODGE",3,6,1,3.07,0,1,1,1,0,0,0
302,"LOTUS BAY",4,13,1,4,0,1,1,0,0,1,0
303,"LUNA SHARM (EX. MERCURE LUNA SHARM EL SHEIKH)",3,6,1,3.62,0,1,0,0,0,0,0
304,"MAGAWISH VILLAGE & RESORT (EX. MAGAWISH SWISS INN RESORT)",4,5,1,4.06,0,1,1,0,0,1,0
305,"MAGIC LIFE KALAWY IMPERIAL",5,13,1,4.69,1,1,1,0,0,1,0
306,"MAGIC LIFE SHARM EL SHEIKH IMPERIAL",5,6,1,4.77,0,1,1,1,0,1,1
307,"MAKADI PALACE",5,5,1,4.54,1,1,1,0,0,1,0
309,"MARINA LODGE AT PORT GHALIB",4,11,1,4.24,0,1,1,1,0,1,0
310,"MARITIM JOLIE VILLE GOLF & RESORT",5,6,1,4.14,1,1,1,1,0,1,1
311,"MARITIM JOLIE VILLE RESORT & CASINO",5,6,1,4.31,1,0,1,0,1,1,1
312,"MARITIM JOLIE VILLE ROYAL PENINSULA HOTEL & RESORT",5,6,1,4.53,0,1,0,0,0,0,0
313,"DESSOLE MARLIN INN BEACH RESORT",4,5,1,4.5,1,0,1,0,1,1,0
314,"SHARM EL SHEIKH MARRIOTT RED SEA RESORT",5,6,1,4.59,1,0,1,0,1,1,1
315,"HURGADA MARRIOTT BEACH RESORT",5,5,1,4.59,0,1,1,1,0,1,1
316,"SHARM EL SHEIKH MARRIOTT RESORT MOUNTAIN",5,6,1,4.4,1,0,1,0,1,0,0
317,"TABA HEIGHTS MARRIOTT BEACH RESORT",5,14,1,4.3,0,1,1,0,0,1,0
318,"DOUBLE TREE BY HILTON (EX. RIVIERA DE GOA)",5,18,3,4.29,0,1,1,1,1,0,0
319,"MELTON BEACH RESORT (EX. MELIA SINAI)",5,6,1,4,0,1,0,0,0,1,0
320,"SEAGULL BEACH RESORT",3,18,3,4.47,0,0,0,0,1,1,0
321,"MENAVILLE SAFAGA",4,13,1,4.08,0,1,1,1,0,1,0
322,"ECOTEL DAHAB BAY VIEW (EX. SOL DAHAB RED SEA)",4,10,1,4.08,0,1,1,0,0,1,0
323,"MEXICANA SHARM RESORT",4,6,1,3.65,0,1,1,0,0,0,0
